"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","Ward","Corporator"
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36129,"G HPS ALAPPANAHALLI","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36134,"G LPS MUGALIPURA","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36121,"G HPS KAMMASANDRA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36122,"G HPS HASIGALA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36128,"G UHPS SHANKANIPURA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36123,"G LPS THIMMASANDRA","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36125,"G HPS LAKKONDANAHALLI","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36126,"G LPS VENKATAPURA","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36127,"G LPS VABHASANDRA","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36130,"G LPS UPPARAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36131,"G HPS KUMBALAHALLI","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36132,"G LPS CHOWLU THOTA","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36133,"G LPS KALLAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36135,"G HPS KURUBARAHALLI","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","ALAPPANAHALLI",36124,"G HPS SONNAHALLIPURA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35888,"G HPS E. MUTHASANDRA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35899,"G ULPS CHIKKA HULLURU","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35890,"G LPS DODDA KOLIGA","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35891,"G HPS BEGURU","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35905,"G HPS DASARAHALLI","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35885,"G LPS M.SATHYAVARA","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35889,"G LPS CHIKKA KOLIGA","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35892,"G LPS SONNEBACHANAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35898,"G LPS CHIKKA HULLURU","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35886,"G HPS KAMBALIPURA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35887,"G ULPS E.MUTHASANDRA","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35895,"G LPS DODDANALLURAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35897,"G HPS DODDA HULLURU","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35900,"G LPS CHOKKAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35901,"G LPS CHOWLAPPANAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35896,"G HPS SOMPURA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35902,"G HPS MALLIMAKANAPURA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35903,"G LPS CHIKKA NALLURAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35904,"G LPS PILLAGUMPE","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35893,"G LPS BAGALURU","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BEGURU",35894,"G LPS BHEEMAKANAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36034,"G HPS T AGRAHARA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36037,"G LPS BHUVANAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36026,"G LPS THENEYURU","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36029,"G HPS BENDIGANAHALLI","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36038,"G HPS GULLAHALLI","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36031,"GUHPS THAMMARASANAHALLI","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36033,"G LPS SHASHIMAKANAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36025,"G LPS THIMMAPPANAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36035,"G HPS BHAVAPURA","Upper Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
"SCHOOL","BANGALORE RURAL","HOSAKOTE","BENDIGANAHALLI",36039,"G LPS NAGARENAHALLI","Lower Primary","Chikaballapura","M Veerapa Moili","Hoskote","BN Bachegowda",,
